2024-04-02 18:43:40 install libdeflate0:amd64 <none> 1.20-1
2024-04-02 18:43:40 status half-installed libdeflate0:amd64 1.20-1
2024-04-02 18:43:40 status unpacked libdeflate0:amd64 1.20-1
2024-04-02 18:43:40 install libjbig0:amd64 <none> 2.1-6.1+b1
2024-04-02 18:43:40 status half-installed libjbig0:amd64 2.1-6.1+b1
2024-04-02 18:43:40 status unpacked libjbig0:amd64 2.1-6.1+b1
2024-04-02 18:43:40 install liblerc4:amd64 <none> 4.0.0+ds-4+b1
2024-04-02 18:43:40 status half-installed liblerc4:amd64 4.0.0+ds-4+b1
2024-04-02 18:43:40 status unpacked liblerc4:amd64 4.0.0+ds-4+b1
2024-04-02 18:43:41 install libwebp7:amd64 <none> 1.3.2-0.4
2024-04-02 18:43:41 status half-installed libwebp7:amd64 1.3.2-0.4
2024-04-02 18:43:41 status unpacked libwebp7:amd64 1.3.2-0.4
2024-04-02 18:43:41 install libtiff6:amd64 <none> 4.5.1+git230720-4
2024-04-02 18:43:41 status half-installed libtiff6:amd64 4.5.1+git230720-4
2024-04-02 18:43:41 status unpacked libtiff6:amd64 4.5.1+git230720-4
2024-04-02 18:43:41 install libxpm4:amd64 <none> 1:3.5.17-1
2024-04-02 18:43:41 status half-installed libxpm4:amd64 1:3.5.17-1
2024-04-02 18:43:41 status unpacked libxpm4:amd64 1:3.5.17-1
2024-04-02 18:43:41 install libgd3:amd64 <none> 2.3.3-9+b1
2024-04-02 18:43:41 status half-installed libgd3:amd64 2.3.3-9+b1
2024-04-02 18:43:41 status unpacked libgd3:amd64 2.3.3-9+b1
2024-04-02 18:43:41 install libc-devtools:amd64 <none> 2.37-12
2024-04-02 18:43:41 status half-installed libc-devtools:amd64 2.37-12
2024-04-02 18:43:41 status unpacked libc-devtools:amd64 2.37-12
2024-04-02 18:43:41 install libexpat1-dev:amd64 <none> 2.5.0-2+b2
